id;dren;cisco;commune;zap;fokontany;code;name;is_privee;is_eec;is_presco;is_primaire;is_college;is_lycee;is_rurale;village
7148;12;115;11504;11505;1150408;115041003;ECOLE PRIVEE CATHOLIQUE NOTRE DAME DE LOURDES SOANIERANA;1;0;0;1;0;0;1;1150408@SOANIERANA
7149;12;115;11504;11506;1150414;115041004;ECOLE PRIVEE CATHOLIQUE SAINT ANTOINE DE PADOUT MIANDRARIVO I;1;0;0;1;0;0;1;1150414@MIADANARIVO I
7150;12;115;11504;11505;1150401;115041005;ECOLE PRIVEE CATHOLIQUE SAINT BENOIT MANGALAZAINA;1;0;0;1;0;0;1;1150401@MANGALAZAINA
7151;12;115;11504;11505;1150413;115041006;ECOLE PRIVEE CATHOLIQUE SAINTE THERESE DE L'ENFANT JESUS MAN;1;0;0;1;0;0;1;1150413@MANDROSOA
7152;12;115;11504;11505;1150401;115041007;ECOLE PRIVEE CATHOLIQUE SAINT JEAN ANDRANOTELO;1;0;0;1;0;0;1;1150401@ANDRANOTELO
7153;12;115;11510;11506;1151001;115041008;ECOLE PRIVEE CATHOLIQUE SAINT LOUIS ANTANETIBE SUD;1;0;1;1;0;0;1;1151001@ANTANETIBE SUD
7154;12;115;11504;11506;1150414;115041009;ECOLE PRIVEE CATHOLIQUE SAINT PAUL ANKIDONA;1;0;0;1;0;0;1;1150414@ANKIDONA
7155;12;115;11510;11506;1151002;115041010;ECOLE PRIVEE CATHOLIQUE SACRE-COEUR MAROHOVA;1;0;0;1;0;0;1;1151002@MAROHOVA
7156;12;115;11504;11505;1150415;115041011;ECOLE PRIVEE CATHOLIQUE SAINT PIERRE ET PAUL FIADANANA;1;0;0;1;0;0;1;1150415@FIADANANA
7157;12;115;11504;11506;1150406;115041012;ECOLE PRIVEE CATHOLIQUE SAINT RAPHAEL FALIARIVO;1;0;0;1;0;0;1;1150406@FALIARIVO
7158;12;115;11504;11506;1150406;115041013;ECOLE PRIVEE CATHOLIQUE SAINT VINCENT DE PAUL AMPASINAVO;1;0;0;1;0;0;1;1150406@AMPASINAVO
7159;12;115;11504;11505;1150420;115041015;ECOLE PRIVEE FJKM MANAZARY;1;0;0;1;0;0;1;1150420@MANAZARY
7160;12;115;11510;11506;1151001;115041016;ECOLE PRIVEE FJKM ZIONA VAOVAO MANGATANY;1;0;0;1;0;0;1;1151001@MANGATANY
7161;12;115;11504;11505;1150416;115041017;ECOLE PRIVEE SAINT PAUL AMPANY;1;0;0;1;0;0;1;1150416@AMPANY
7162;12;115;11510;11506;1151001;115041018;COLLEGE SAINT VINCENT DE PAUL MANGATANY;1;0;0;1;1;0;1;1151001@MANGATANY
7163;12;115;11510;11506;1151001;115041020;ECOLE PRIVEE FJKM MAHAIMANDRY;1;0;0;1;0;0;1;1151001@MAHAIMANDRY
7164;12;115;11504;11505;1150405;115041022;ECOLE PRIVEE CATHOLIQUE SAINT CLEMENT ANDRANOMANOA;1;0;0;1;0;0;1;1150405@ANDRANOMANOA
7165;12;115;11504;11506;1150411;115041024;ECOLE PRIVEE CATHOLIQUE MANJAKA;1;0;0;1;0;0;1;1150411@MANJAKA MAHATSINJO
